"division","gender","age_group","education","number","cell_proportion_of_division_total"
"Ballarat","Female","ages30to44","postgraduateDegree",726,0.00730345556058548
"Ballarat","Female","ages45to59","bachelorDegree",2151,0.0216387505658669
"Ballarat","Female","ages45to59","gradDipDipCertIIIandIV",4734,0.0476233589859665
"Ballarat","Female","ages45to59","highSchoolorCertIorIIorLess",6030,0.0606609325486646
"Ballarat","Female","ages45to59","postgraduateDegree",707,0.0071123182938484
"Ballarat","Female","ages60plus","bachelorDegree",1632,0.0164176852271013
"Ballarat","Female","ages60plus","gradDipDipCertIIIandIV",3055,0.0307328605200946
"Ballarat","Female","ages60plus","highSchoolorCertIorIIorLess",10198,0.102590412957095
"Ballarat","Female","ages60plus","postgraduateDegree",409,0.00411448116291937
"Ballarat","Male","ages18to29","bachelorDegree",990,0.00995925758261657
"Ballarat","Male","ages18to29","gradDipDipCertIIIandIV",3528,0.0354911724762336
"Ballarat","Male","ages18to29","highSchoolorCertIorIIorLess",5484,0.0551682510940094
"Ballarat","Male","ages18to29","postgraduateDegree",145,0.00145867914088829
"Ballarat","Male","ages30to44","bachelorDegree",2061,0.0207333635129018
"Ballarat","Male","ages30to44","gradDipDipCertIIIandIV",5396,0.0542829837533323
"Ballarat","Male","ages30to44","highSchoolorCertIorIIorLess",3645,0.0366681756450883
"Ballarat","Male","ages30to44","postgraduateDegree",562,0.00565363915296011
"Ballarat","Male","ages45to59","bachelorDegree",1471,0.0147980483879081
"Ballarat","Male","ages45to59","gradDipDipCertIIIandIV",5687,0.057210401891253
"Ballarat","Male","ages45to59","highSchoolorCertIorIIorLess",4713,0.0474121020069413
"Ballarat","Male","ages45to59","postgraduateDegree",589,0.00592525526884966
"Ballarat","Male","ages60plus","bachelorDegree",1272,0.0127961370152407
"Ballarat","Male","ages60plus","gradDipDipCertIIIandIV",5281,0.0531261002967658
"Ballarat","Male","ages60plus","highSchoolorCertIorIIorLess",6308,0.0634575725567124
"Ballarat","Male","ages60plus","postgraduateDegree",537,0.00540214274935868
"Banks","Female","ages18to29","bachelorDegree",3240,0.0300782591743332
"Banks","Female","ages18to29","gradDipDipCertIIIandIV",2386,0.0221502241944318
"Banks","Female","ages18to29","highSchoolorCertIorIIorLess",5345,0.0496198442243244
