"year","division","ALP_2PP","first_prefs","total_votes","first_prefs_percent"
2007,"Adelaide",0.626085748914251,41548,82487,0.503691490780365
2007,"Aston",0.47927329556554,31820,79397,0.400770809980226
2007,"Ballarat",0.58716618933354,32779,66275,0.494590720482837
2007,"Banks",0.595252749605288,39676,79077,0.501738811538121
2007,"Barker",0.409868220149867,26088,88677,0.294191278460029
2007,"Barton",0.701156878638273,41255,73395,0.562095510593365
2007,"Bass",0.518628989155359,21784,60059,0.362710001831532
2007,"Bean",0.619738515692016,35397,69356,0.510366803160505
2007,"Bendigo",0.569241253975466,31231,68469,0.456133432648352
2007,"Bennelong",0.518433826211386,32716,76154,0.429603172518843
2007,"Berowra",0.39867507271791,21530,75551,0.284973064552422
2007,"Blair",0.575535178017954,32277,64806,0.498055735580039
2007,"Blaxland",0.685924514969508,40239,71820,0.560275689223058
2007,"Bonner",0.556748886358067,34571,71550,0.483172606568833
2007,"Boothby",0.494503370735423,33305,90820,0.366714380092491
2007,"Bowman",0.503259041211102,29622,68996,0.429329236477477
2007,"Braddon",0.521601101891356,26357,61602,0.427859485081653
2007,"Bradfield",0.361238532110092,18285,72773,0.251260769790994
2007,"Brand",0.576050554182282,23955,52316,0.457890511506996
2007,"Brisbane",0.544109002667792,28480,68430,0.41619172877393
2007,"Bruce",0.679394373293029,46608,79113,0.589132001061772
2007,"Burt",0.509749688839718,24871,60363,0.412023921938936
2007,"Calare",0.49409535318027,26377,75740,0.348257195669395
2007,"Calwell",0.73438946244215,36235,59459,0.609411527270893
2007,"Canberra",0.672270950933565,29650,58943,0.503028349422323
2007,"Canning",0.439691206175876,18279,51733,0.353333462200143
2007,"Capricornia",0.625499334221039,36932,68584,0.538492942960457
2007,"Casey",0.482389145335012,26796,73900,0.362598105548038
2007,"Chifley",0.715034540777531,40242,67456,0.59656665085389
2007,"Chisholm",0.547786994237954,36359,80880,0.44954253214639
2007,"Clark",0.659538775982415,25522,53307,0.478773894610464
2007,"Cook",0.43567365161662,25626,72572,0.353111392823679
2007,"Cooper",0.767885556013908,39385,70769,0.556528988681485
2007,"Corangamite",0.532365889450514,23977,56744,0.422546877202876
2007,"Corio",0.589531329597555,32959,73354,0.449314284156283
2007,"Cowan",0.530530685053686,27192,61216,0.444197595399895
2007,"Cowper",0.463640913115448,27743,81452,0.340605509993616
2007,"Cunningham",0.699434248281089,40914,77581,0.527371392480118
2007,"Curtin",0.360029691867903,15638,64572,0.242179272749799
2007,"Dawson",0.526403655214832,32443,71193,0.45570491480904
2007,"Deakin",0.478598618356126,27894,72606,0.38418312536154
2007,"Dickson",0.515681312782762,29554,67122,0.440302732338131
2007,"Dobell",0.556027727546715,32020,69605,0.460024423532792
2007,"Dunkley",0.493829409353796,27626,67761,0.407697643187084
2007,"Durack",0.414314223821789,18728,61481,0.304614433727493
2007,"Eden-Monaro",0.530960843850283,30669,72254,0.424460929498713
2007,"Fadden",0.387587886840503,17990,56765,0.316920637716903
2007,"Fairfax",0.478630701799976,21412,59906,0.357426635061596
2007,"Farrer",0.345030463413133,23762,84754,0.280364348585318
2007,"Fenner",0.61774351548192,23827,48297,0.493343271838831
2007,"Fisher",0.470627276130833,19440,60514,0.32124797567505
2007,"Flinders",0.429936520799568,20777,60926,0.341020254078718
2007,"Flynn",0.54167331949545,30570,65486,0.466817335002901
2007,"Forde",0.549016058077014,26610,58192,0.457279351113555
2007,"Forrest",0.428261983894704,17301,62506,0.276789428214891
2007,"Fowler",0.705741626794258,45282,76141,0.594712441391629
2007,"Franklin",0.539116057746592,20184,51007,0.395710392691199
2007,"Fraser",0.728738922221611,46606,76395,0.610066103802605
2007,"Fremantle",0.606111912026017,27896,62542,0.44603626363084
2007,"Gellibrand",0.704837025143801,38464,67019,0.573926796878497
2007,"Gilmore",0.48434940855323,26158,68914,0.379574542183011
2007,"Gippsland",0.439841859916209,24822,69957,0.354817959603757
2007,"Goldstein",0.449529512403764,23542,69486,0.338802060846789
2007,"Gorton",0.692485128080612,25719,42903,0.599468568631564
2007,"Grayndler",0.732745487281289,34941,68833,0.507619891621751
2007,"Greenway",0.546595193213949,33216,72389,0.458854245810828
2007,"Grey",0.449517795637199,33245,91125,0.36482853223594
2007,"Griffith",0.619167717528373,31862,62135,0.512786674177195
2007,"Groom",0.424912208221442,24165,69980,0.345312946556159
2007,"Hasluck",0.484219089837459,22973,62841,0.365573431358508
2007,"Herbert",0.510247155267344,28962,68453,0.423093217243948
2007,"Higgins",0.461166425105552,21973,65301,0.336487955774031
2007,"Hindmarsh",0.618111639684823,42676,85207,0.500850869060054
2007,"Hinkler",0.490174547242481,26565,63704,0.417006781363808
2007,"Holt",0.596042329474943,23798,45948,0.517933315922347
2007,"Hotham",0.618701511901925,41516,78151,0.531228007319164
2007,"Hughes",0.463775621456607,29403,75971,0.387029261165445
2007,"Hume",0.454635444558038,24239,64404,0.376358611266381
2007,"Hunter",0.650849746440834,39761,72848,0.545807709202723
2007,"Indi",0.417896734546331,21781,68521,0.317873352694794
2007,"Isaacs",0.531407739764442,28509,66234,0.430428480840656
2007,"Jagajaga",0.585188724319159,35937,75429,0.476434792984131
2007,"Kennedy",0.436608057477232,21614,74434,0.290378053040277
2007,"Kingsford Smith",0.63789272267144,34452,68671,0.501696494881391
2007,"Kingston",0.53756536450323,36057,80992,0.445192117740024
2007,"Kooyong",0.422699412199992,22800,73241,0.311301047227646
2007,"La Trobe",0.463413592896175,18930,48483,0.390446135758926
2007,"Lalor",0.661967860163518,27958,47828,0.584552981517103
2007,"Leichhardt",0.540780231018123,25555,62923,0.406131303339002
2007,"Lilley",0.591078989633523,35926,70764,0.507687524730089
2007,"Lindsay",0.567505624296963,36582,75543,0.484254001032525
2007,"Lingiari",0.486923651707617,9088,23451,0.387531448552301
2007,"Longman",0.520276069858286,26377,59277,0.444978659513808
2007,"Lyne",0.436307587402156,25014,74040,0.337844408427877
2007,"Lyons",0.593326527752757,22784,51692,0.440764528360288
2007,"Macarthur",0.591313388009703,36971,73931,0.500074393691415
2007,"Mackellar",0.381756709751924,17840,75558,0.236110008205617
2007,"Macnamara",0.596470982392138,23695,55025,0.43062244434348
2007,"Macquarie",0.5025876531976,26561,73020,0.363749657628047
2007,"Makin",0.599446056449486,44505,87216,0.510284810126582
2007,"Mallee",0.325801020343575,20544,82304,0.249611197511664
2007,"Maranoa",0.374683506149023,20780,69191,0.300328077351101
2007,"Maribyrnong",0.63345539861448,33952,65633,0.517300748099279
2007,"Mayo",0.444286993837146,24053,77039,0.312218486740482
2007,"McEwen",0.523001903458306,20460,48539,0.421516718515009
2007,"McMahon",0.637768960564302,41156,76536,0.537733876868402
2007,"McPherson",0.41393057800354,23257,67300,0.3455720653789
2007,"Melbourne",0.726999295653995,25906,54081,0.479022207429596
2007,"Menzies",0.473131985348379,27883,76692,0.363571167788035
2007,"Mitchell",0.417514826409099,22018,66373,0.331731276271978
2007,"Monash",0.442163982738659,20759,59111,0.351186750351034
2007,"Moncrieff",0.371528096067467,20329,68365,0.297359760111168
2007,"Moore",0.410578040346628,23833,73631,0.323681601499368
2007,"Moreton",0.570025715846558,36922,77629,0.475621224027103
2007,"New England",0.376086191494545,10042,76359,0.131510365510287
2007,"Newcastle",0.658801919619181,39549,81122,0.487524962402308
2007,"Nicholls",0.344632032753208,18331,73076,0.250848431769664
2007,"North Sydney",0.452572979474764,23415,67371,0.347553101482834
2007,"O'Connor",0.39211203611842,19598,72789,0.269243979172677
2007,"Oxley",0.620884520884521,34677,63807,0.543467017725328
2007,"Page",0.53671548515757,32914,82491,0.399001103150647
2007,"Parkes",0.394309052314802,21758,78087,0.278637929488903
2007,"Parramatta",0.608115446003982,33204,65340,0.508172635445363
2007,"Paterson",0.613060153980654,38826,74296,0.522585334338322
2007,"Pearce",0.406953602685529,13874,43514,0.318839913591028
2007,"Perth",0.568014076173274,28837,67141,0.429499113805275
2007,"Petrie",0.545491578535057,31672,65955,0.480206201197786
2007,"Rankin",0.621140662225896,35123,64689,0.542951661024285
2007,"Reid",0.576586277335276,31306,66475,0.470943963896202
2007,"Richmond",0.583711678670196,29935,70984,0.421714752620309
2007,"Riverina",0.353212660375903,22150,80873,0.27388621666069
2007,"Robertson",0.503269766568983,29814,71772,0.415398762748704
2007,"Ryan",0.49432072515667,28181,73085,0.385592118765821
2007,"Scullin",0.743991798595005,39844,62265,0.63991006183249
2007,"Shortland",0.64942618675013,43253,80301,0.538635882492123
2007,"Solomon",0.510041043682205,17531,42217,0.415259255750053
2007,"Spence",0.635734806013444,39583,75623,0.523425412903482
2007,"Stirling",0.501897627141018,25762,64102,0.401890736638482
2007,"Sturt",0.499415218222032,36274,89407,0.405717673112844
2007,"Swan",0.500041387302376,24709,63444,0.389461572410315
2007,"Sydney",0.704481552599095,28763,61366,0.468712316266336
2007,"Tangney",0.417188381070804,22370,71170,0.314317830546579
2007,"Wannon",0.436101102374861,27862,76790,0.362833702304988
2007,"Warringah",0.413415853963491,18225,66350,0.274679728711379
2007,"Watson",0.70885253358894,38630,68495,0.563982772465143
