"date","pollster","party","poll"
1971-09-15,"F2F Morgan","alp",46
1971-09-15,"F2F Morgan","oth",9
1971-11-15,"F2F Morgan","lnp",45
1971-11-15,"F2F Morgan","alp",45
1971-11-15,"F2F Morgan","oth",10
1972-02-15,"F2F Morgan","lnp",40
1972-02-15,"F2F Morgan","alp",49
1972-02-15,"F2F Morgan","oth",11
1972-04-10,"F2F Morgan","lnp",37
1972-04-10,"F2F Morgan","alp",50
1972-04-10,"F2F Morgan","oth",13
1972-04-20,"F2F Morgan","lnp",40
1972-04-20,"F2F Morgan","alp",48
1972-04-20,"F2F Morgan","oth",12
1972-06-15,"F2F Morgan","lnp",42
1972-06-15,"F2F Morgan","alp",46
1972-06-15,"F2F Morgan","oth",12
1972-07-15,"F2F Morgan","lnp",47
1972-07-15,"F2F Morgan","alp",42
1972-07-15,"F2F Morgan","oth",11
1972-08-15,"F2F Morgan","lnp",46
1972-08-15,"F2F Morgan","alp",43
1972-08-15,"F2F Morgan","oth",11
1972-09-15,"F2F Morgan","lnp",46
1972-09-15,"F2F Morgan","alp",45
1972-09-15,"F2F Morgan","oth",9
1972-10-15,"F2F Morgan","lnp",42
1972-10-15,"F2F Morgan","alp",47
1972-10-15,"F2F Morgan","oth",11
1972-11-15,"F2F Morgan","lnp",41
1972-11-15,"F2F Morgan","alp",49
1972-11-15,"F2F Morgan","oth",10
1972-11-25,"F2F Morgan","lnp",42
1972-11-25,"F2F Morgan","alp",50
1972-11-25,"F2F Morgan","oth",8
1978-01-18,"F2F Morgan","lnp",47
1978-01-18,"F2F Morgan","alp",39
1978-01-18,"F2F Morgan","oth",14
1978-02-01,"F2F Morgan","lnp",51
1978-02-01,"F2F Morgan","alp",36
1978-02-01,"F2F Morgan","oth",13
1978-02-15,"F2F Morgan","lnp",50
1978-02-15,"F2F Morgan","alp",38
1978-02-15,"F2F Morgan","oth",12
1978-02-26,"F2F Morgan","lnp",48
1978-02-26,"F2F Morgan","alp",41
1978-02-26,"F2F Morgan","oth",11
1978-03-08,"F2F Morgan","lnp",50
1978-03-08,"F2F Morgan","alp",39
1978-03-08,"F2F Morgan","oth",11
1978-03-22,"F2F Morgan","lnp",49
1978-03-22,"F2F Morgan","alp",39
