"date","pollster","party","poll"
2005-11-06,"F2F Morgan","oth",9
2005-11-12,"F2F Morgan","tpp",49
2005-11-12,"F2F Morgan","lnp",43.5
2005-11-12,"F2F Morgan","alp",38
2005-11-12,"F2F Morgan","grn",9
2005-11-12,"F2F Morgan","oth",9.5
2005-11-19,"Newspoll","tpp",54
2005-11-19,"Newspoll","lnp",39
2005-11-19,"Newspoll","alp",42
2005-11-19,"Newspoll","grn",7
2005-11-19,"Newspoll","oth",12
2005-11-23,"F2F Morgan","tpp",57
2005-11-23,"F2F Morgan","lnp",35.5
2005-11-23,"F2F Morgan","alp",45.5
2005-11-23,"F2F Morgan","grn",9
2005-11-23,"F2F Morgan","oth",10
2005-12-03,"Newspoll","tpp",54
2005-12-03,"Newspoll","lnp",38
2005-12-03,"Newspoll","alp",42
2005-12-03,"Newspoll","grn",6
2005-12-03,"Newspoll","oth",14
2005-12-07,"F2F Morgan","tpp",54
2005-12-07,"F2F Morgan","lnp",38.5
2005-12-07,"F2F Morgan","alp",42
2005-12-07,"F2F Morgan","grn",10
2005-12-07,"F2F Morgan","oth",9.5
2005-12-17,"Newspoll","tpp",51
2005-12-17,"Newspoll","lnp",41
2005-12-17,"Newspoll","alp",39
2005-12-17,"Newspoll","grn",7
2005-12-17,"Newspoll","oth",13
2005-12-18,"F2F Morgan","tpp",52
2005-12-18,"F2F Morgan","lnp",39.5
2005-12-18,"F2F Morgan","alp",39.5
2005-12-18,"F2F Morgan","grn",10.5
2005-12-18,"F2F Morgan","oth",10.5
2006-01-11,"F2F Morgan","tpp",54
2006-01-11,"F2F Morgan","lnp",39
2006-01-11,"F2F Morgan","alp",43
2006-01-11,"F2F Morgan","grn",8
2006-01-11,"F2F Morgan","oth",10
2006-01-14,"Newspoll","tpp",48
2006-01-14,"Newspoll","lnp",45
2006-01-14,"Newspoll","alp",37
2006-01-14,"Newspoll","grn",7
2006-01-14,"Newspoll","oth",11
2006-01-25,"F2F Morgan","tpp",50
2006-01-25,"F2F Morgan","lnp",42
2006-01-25,"F2F Morgan","alp",38
2006-01-25,"F2F Morgan","grn",8.5
2006-01-25,"F2F Morgan","oth",11.5
2006-01-28,"Newspoll","tpp",48
2006-01-28,"Newspoll","lnp",44
2006-01-28,"Newspoll","alp",36
2006-01-28,"Newspoll","grn",7
2006-01-28,"Newspoll","oth",13
2006-02-05,"F2F Morgan","tpp",52.5
2006-02-05,"F2F Morgan","lnp",40.5
2006-02-05,"F2F Morgan","alp",42
2006-02-05,"F2F Morgan","grn",8
2006-02-05,"F2F Morgan","oth",9.5
2006-02-11,"Newspoll","tpp",51
2006-02-11,"Newspoll","lnp",41
2006-02-11,"Newspoll","alp",39
2006-02-11,"Newspoll","grn",5
2006-02-11,"Newspoll","oth",15
2006-02-15,"F2F Morgan","tpp",52.5
2006-02-15,"F2F Morgan","lnp",40
2006-02-15,"F2F Morgan","alp",40.5
2006-02-15,"F2F Morgan","grn",8
2006-02-15,"F2F Morgan","oth",11.5
2006-02-25,"Newspoll","tpp",51
2006-02-25,"Newspoll","lnp",41
2006-02-25,"Newspoll","alp",39
2006-02-25,"Newspoll","grn",7
2006-02-25,"Newspoll","oth",13
2006-03-01,"F2F Morgan","tpp",50
2006-03-01,"F2F Morgan","lnp",43
2006-03-01,"F2F Morgan","alp",39.5
2006-03-01,"F2F Morgan","grn",8
2006-03-01,"F2F Morgan","oth",9.5
2006-03-11,"Newspoll","tpp",47
2006-03-11,"Newspoll","lnp",45
2006-03-11,"Newspoll","alp",35
2006-03-11,"Newspoll","grn",6
2006-03-11,"Newspoll","oth",14
2006-03-15,"F2F Morgan","tpp",49
2006-03-15,"F2F Morgan","lnp",44
2006-03-15,"F2F Morgan","alp",38.5
2006-03-15,"F2F Morgan","grn",8.5
2006-03-15,"F2F Morgan","oth",9
2006-03-25,"Newspoll","tpp",53
2006-03-25,"Newspoll","lnp",41
2006-03-25,"Newspoll","alp",42
2006-03-25,"Newspoll","grn",4
2006-03-25,"Newspoll","oth",13
2006-03-29,"F2F Morgan","tpp",54
2006-03-29,"F2F Morgan","lnp",39
2006-03-29,"F2F Morgan","alp",43.5
2006-03-29,"F2F Morgan","grn",8
2006-03-29,"F2F Morgan","oth",9.5
2006-04-08,"Newspoll","tpp",52
2006-04-08,"Newspoll","lnp",41
2006-04-08,"Newspoll","alp",39
2006-04-08,"Newspoll","grn",7
2006-04-08,"Newspoll","oth",13
2006-04-12,"F2F Morgan","tpp",54
2006-04-12,"F2F Morgan","lnp",38.5
2006-04-12,"F2F Morgan","alp",42
2006-04-12,"F2F Morgan","grn",9.5
2006-04-12,"F2F Morgan","oth",10
2006-04-26,"F2F Morgan","tpp",51.5
2006-04-26,"F2F Morgan","lnp",40
2006-04-26,"F2F Morgan","alp",39
2006-04-26,"F2F Morgan","grn",8.5
2006-04-26,"F2F Morgan","oth",12.5
2006-04-29,"Newspoll","tpp",49
2006-04-29,"Newspoll","lnp",42
2006-04-29,"Newspoll","alp",37
2006-04-29,"Newspoll","grn",7
2006-04-29,"Newspoll","oth",14
2006-05-07,"F2F Morgan","tpp",53.5
2006-05-07,"F2F Morgan","lnp",39
2006-05-07,"F2F Morgan","alp",42
2006-05-07,"F2F Morgan","grn",9.5
2006-05-07,"F2F Morgan","oth",9.5
2006-05-13,"Newspoll","tpp",50
2006-05-13,"Newspoll","lnp",43
2006-05-13,"Newspoll","alp",39
2006-05-13,"Newspoll","grn",6
2006-05-13,"Newspoll","oth",12
2006-05-14,"F2F Morgan","tpp",51
2006-05-14,"F2F Morgan","lnp",42
2006-05-14,"F2F Morgan","alp",40.5
2006-05-14,"F2F Morgan","grn",7
2006-05-14,"F2F Morgan","oth",10.5
2006-05-24,"F2F Morgan","tpp",51.5
2006-05-24,"F2F Morgan","lnp",42
2006-05-24,"F2F Morgan","alp",41
2006-05-24,"F2F Morgan","grn",7.5
2006-05-24,"F2F Morgan","oth",9.5
2006-05-27,"Newspoll","tpp",52
2006-05-27,"Newspoll","lnp",40
2006-05-27,"Newspoll","alp",39
2006-05-27,"Newspoll","grn",7
2006-05-27,"Newspoll","oth",14
2006-06-07,"F2F Morgan","tpp",53
2006-06-07,"F2F Morgan","lnp",39.5
2006-06-07,"F2F Morgan","alp",42
2006-06-07,"F2F Morgan","grn",8
2006-06-07,"F2F Morgan","oth",10.5
2006-06-17,"Newspoll","tpp",49
2006-06-17,"Newspoll","lnp",44
2006-06-17,"Newspoll","alp",38
2006-06-17,"Newspoll","grn",7
2006-06-17,"Newspoll","oth",11
2006-06-21,"F2F Morgan","tpp",51
2006-06-21,"F2F Morgan","lnp",42
2006-06-21,"F2F Morgan","alp",40.5
2006-06-21,"F2F Morgan","grn",8.5
2006-06-21,"F2F Morgan","oth",9
2006-07-05,"F2F Morgan","tpp",53.5
2006-07-05,"F2F Morgan","lnp",39
2006-07-05,"F2F Morgan","alp",42.5
2006-07-05,"F2F Morgan","grn",8.5
2006-07-05,"F2F Morgan","oth",10
2006-07-15,"Newspoll","tpp",52
2006-07-15,"Newspoll","lnp",42
2006-07-15,"Newspoll","alp",42
2006-07-15,"Newspoll","grn",5
2006-07-15,"Newspoll","oth",11
2006-07-16,"F2F Morgan","tpp",48
2006-07-16,"F2F Morgan","lnp",45
2006-07-16,"F2F Morgan","alp",36.5
2006-07-16,"F2F Morgan","grn",7.5
2006-07-16,"F2F Morgan","oth",10
2006-07-26,"F2F Morgan","tpp",53.5
2006-07-26,"F2F Morgan","lnp",40
2006-07-26,"F2F Morgan","alp",42
2006-07-26,"F2F Morgan","grn",8
2006-07-26,"F2F Morgan","oth",10
2006-07-29,"Newspoll","tpp",50
2006-07-29,"Newspoll","lnp",43
2006-07-29,"Newspoll","alp",40
2006-07-29,"Newspoll","grn",5
2006-07-29,"Newspoll","oth",12
2006-08-05,"Newspoll","tpp",51
2006-08-05,"Newspoll","lnp",42
2006-08-05,"Newspoll","alp",41
2006-08-05,"Newspoll","grn",7
2006-08-05,"Newspoll","oth",10
2006-08-09,"F2F Morgan","tpp",53
2006-08-09,"F2F Morgan","lnp",40.5
2006-08-09,"F2F Morgan","alp",41.5
2006-08-09,"F2F Morgan","grn",8.5
2006-08-09,"F2F Morgan","oth",9.5
2006-08-12,"Newspoll","tpp",49
2006-08-12,"Newspoll","lnp",44
2006-08-12,"Newspoll","alp",37
2006-08-12,"Newspoll","grn",7
2006-08-12,"Newspoll","oth",12
2006-08-23,"F2F Morgan","tpp",54
2006-08-23,"F2F Morgan","lnp",39
2006-08-23,"F2F Morgan","alp",42.5
2006-08-23,"F2F Morgan","grn",8
2006-08-23,"F2F Morgan","oth",10.5
2006-08-26,"Newspoll","tpp",51
2006-08-26,"Newspoll","lnp",44
2006-08-26,"Newspoll","alp",42
2006-08-26,"Newspoll","grn",5
2006-08-26,"Newspoll","oth",9
2006-09-06,"F2F Morgan","tpp",55
2006-09-06,"F2F Morgan","lnp",38
2006-09-06,"F2F Morgan","alp",43
2006-09-06,"F2F Morgan","grn",9
2006-09-06,"F2F Morgan","oth",10
2006-09-09,"Newspoll","tpp",53
2006-09-09,"Newspoll","lnp",39
2006-09-09,"Newspoll","alp",41
2006-09-09,"Newspoll","grn",6
2006-09-09,"Newspoll","oth",14
2006-09-20,"F2F Morgan","tpp",53
2006-09-20,"F2F Morgan","lnp",41.5
2006-09-20,"F2F Morgan","alp",41.5
2006-09-20,"F2F Morgan","grn",8
2006-09-20,"F2F Morgan","oth",9
2006-09-23,"Newspoll","tpp",53
2006-09-23,"Newspoll","lnp",41
2006-09-23,"Newspoll","alp",42
2006-09-23,"Newspoll","grn",6
2006-09-23,"Newspoll","oth",11
2006-10-04,"F2F Morgan","tpp",54.5
2006-10-04,"F2F Morgan","lnp",39
2006-10-04,"F2F Morgan","alp",42
2006-10-04,"F2F Morgan","grn",9.5
2006-10-04,"F2F Morgan","oth",9.5
2006-10-14,"Newspoll","tpp",52
2006-10-14,"Newspoll","lnp",41
2006-10-14,"Newspoll","alp",41
2006-10-14,"Newspoll","grn",6
2006-10-14,"Newspoll","oth",12
2006-10-18,"F2F Morgan","tpp",53
2006-10-18,"F2F Morgan","lnp",40.5
2006-10-18,"F2F Morgan","alp",41.5
2006-10-18,"F2F Morgan","grn",8.5
2006-10-18,"F2F Morgan","oth",9.5
2006-10-28,"Newspoll","tpp",52
2006-10-28,"Newspoll","lnp",42
2006-10-28,"Newspoll","alp",41
2006-10-28,"Newspoll","grn",7
2006-10-28,"Newspoll","oth",10
2006-11-01,"F2F Morgan","tpp",52.5
2006-11-01,"F2F Morgan","lnp",41.5
2006-11-01,"F2F Morgan","alp",40.5
2006-11-01,"F2F Morgan","grn",9
2006-11-01,"F2F Morgan","oth",9
2006-11-11,"Newspoll","tpp",50
2006-11-11,"Newspoll","lnp",41
2006-11-11,"Newspoll","alp",37
2006-11-11,"Newspoll","grn",9
2006-11-11,"Newspoll","oth",13
2006-11-15,"F2F Morgan","tpp",53
2006-11-15,"F2F Morgan","lnp",40.5
2006-11-15,"F2F Morgan","alp",40.5
2006-11-15,"F2F Morgan","grn",10
2006-11-15,"F2F Morgan","oth",9
2006-11-25,"Newspoll","tpp",51
2006-11-25,"Newspoll","lnp",41
2006-11-25,"Newspoll","alp",39
2006-11-25,"Newspoll","grn",7
2006-11-25,"Newspoll","oth",13
2006-11-29,"F2F Morgan","tpp",52.5
2006-11-29,"F2F Morgan","lnp",41.5
2006-11-29,"F2F Morgan","alp",41
2006-11-29,"F2F Morgan","grn",9
2006-11-29,"F2F Morgan","oth",8.5
2006-12-08,"Newspoll","tpp",55
2006-12-08,"Newspoll","lnp",39
2006-12-08,"Newspoll","alp",44
2006-12-08,"Newspoll","grn",7
2006-12-08,"Newspoll","oth",10
2006-12-10,"F2F Morgan","tpp",59
2006-12-10,"F2F Morgan","lnp",34.5
2006-12-10,"F2F Morgan","alp",50
2006-12-10,"F2F Morgan","grn",7
2006-12-10,"F2F Morgan","oth",8.5
2006-12-17,"F2F Morgan","tpp",59
2006-12-17,"F2F Morgan","lnp",35.5
2006-12-17,"F2F Morgan","alp",49
2006-12-17,"F2F Morgan","grn",7
2006-12-17,"F2F Morgan","oth",8.5
2007-01-10,"F2F Morgan","tpp",57.5
2007-01-10,"F2F Morgan","lnp",36.5
2007-01-10,"F2F Morgan","alp",47
2007-01-10,"F2F Morgan","grn",8
2007-01-10,"F2F Morgan","oth",8.5
2007-01-20,"Newspoll","tpp",55
2007-01-20,"Newspoll","lnp",39
2007-01-20,"Newspoll","alp",44
2007-01-20,"Newspoll","grn",7
2007-01-20,"Newspoll","oth",10
2007-01-24,"F2F Morgan","tpp",54.5
2007-01-24,"F2F Morgan","lnp",39
2007-01-24,"F2F Morgan","alp",43.5
2007-01-24,"F2F Morgan","grn",7.5
2007-01-24,"F2F Morgan","oth",10
2007-02-03,"Newspoll","tpp",56
2007-02-03,"Newspoll","lnp",38
2007-02-03,"Newspoll","alp",47
2007-02-03,"Newspoll","grn",5
2007-02-03,"Newspoll","oth",10
2007-02-04,"F2F Morgan","tpp",57.5
2007-02-04,"F2F Morgan","lnp",37
2007-02-04,"F2F Morgan","alp",47
2007-02-04,"F2F Morgan","grn",8
2007-02-04,"F2F Morgan","oth",8
2007-02-14,"F2F Morgan","tpp",57
2007-02-14,"F2F Morgan","lnp",38
2007-02-14,"F2F Morgan","alp",48
2007-02-14,"F2F Morgan","grn",7
2007-02-14,"F2F Morgan","oth",7
2007-02-20,"Newspoll","tpp",54
2007-02-20,"Newspoll","lnp",41
2007-02-20,"Newspoll","alp",46
2007-02-20,"Newspoll","grn",5
2007-02-20,"Newspoll","oth",8
2007-02-25,"F2F Morgan","tpp",61.5
2007-02-25,"F2F Morgan","lnp",34
2007-02-25,"F2F Morgan","alp",52.5
2007-02-25,"F2F Morgan","grn",7.5
2007-02-25,"F2F Morgan","oth",6
2007-03-03,"Newspoll","tpp",57
2007-03-03,"Newspoll","lnp",37
2007-03-03,"Newspoll","alp",47
2007-03-03,"Newspoll","grn",5
2007-03-03,"Newspoll","oth",11
2007-03-04,"F2F Morgan","tpp",61.5
2007-03-04,"F2F Morgan","lnp",33
2007-03-04,"F2F Morgan","alp",51.5
2007-03-04,"F2F Morgan","grn",7
2007-03-04,"F2F Morgan","oth",8.5
2007-03-09,"Nielsen","tpp",61
2007-03-09,"Nielsen","lnp",35
2007-03-09,"Nielsen","alp",50
2007-03-11,"F2F Morgan","tpp",61
2007-03-11,"F2F Morgan","lnp",34
2007-03-11,"F2F Morgan","alp",51.5
2007-03-11,"F2F Morgan","grn",7.5
2007-03-11,"F2F Morgan","oth",7
2007-03-17,"Newspoll","tpp",61
2007-03-17,"Newspoll","lnp",34
2007-03-17,"Newspoll","alp",52
2007-03-17,"Newspoll","grn",5
2007-03-17,"Newspoll","oth",9
2007-03-18,"F2F Morgan","tpp",58.5
2007-03-18,"F2F Morgan","lnp",36
2007-03-18,"F2F Morgan","alp",48.5
2007-03-18,"F2F Morgan","grn",8
2007-03-18,"F2F Morgan","oth",7.5
2007-03-28,"F2F Morgan","tpp",60
2007-03-28,"F2F Morgan","lnp",34.5
2007-03-28,"F2F Morgan","alp",49.5
2007-03-28,"F2F Morgan","grn",9
2007-03-28,"F2F Morgan","oth",7
2007-03-31,"Newspoll","tpp",57
2007-03-31,"Newspoll","lnp",38
2007-03-31,"Newspoll","alp",49
2007-03-31,"Newspoll","grn",4
2007-03-31,"Newspoll","oth",9
2007-04-11,"F2F Morgan","tpp",59.5
2007-04-11,"F2F Morgan","lnp",35.5
2007-04-11,"F2F Morgan","alp",50
2007-04-11,"F2F Morgan","grn",7.5
2007-04-11,"F2F Morgan","oth",7
2007-04-14,"Newspoll","tpp",59
2007-04-14,"Newspoll","lnp",35
2007-04-14,"Newspoll","alp",50
2007-04-14,"Newspoll","grn",6
2007-04-14,"Newspoll","oth",9
2007-04-21,"Galaxy","tpp",58
2007-04-21,"Galaxy","lnp",37
2007-04-21,"Galaxy","alp",49
2007-04-21,"Galaxy","grn",9
2007-04-21,"Galaxy","oth",5
2007-04-21,"Nielsen","tpp",58
2007-04-21,"Nielsen","lnp",37
2007-04-21,"Nielsen","alp",50
2007-04-25,"F2F Morgan","tpp",61
2007-04-25,"F2F Morgan","lnp",34.5
2007-04-25,"F2F Morgan","alp",52.5
2007-04-25,"F2F Morgan","grn",6.5
2007-04-25,"F2F Morgan","oth",6.5
2007-04-28,"Newspoll","tpp",57
2007-04-28,"Newspoll","lnp",37
2007-04-28,"Newspoll","alp",48
2007-04-28,"Newspoll","grn",5
2007-04-28,"Newspoll","oth",10
2007-05-06,"F2F Morgan","tpp",60
2007-05-06,"F2F Morgan","lnp",35.5
2007-05-06,"F2F Morgan","alp",51.5
2007-05-06,"F2F Morgan","grn",7
2007-05-06,"F2F Morgan","oth",6
2007-05-12,"Newspoll","tpp",59
2007-05-12,"Newspoll","lnp",36
2007-05-12,"Newspoll","alp",50
2007-05-12,"Newspoll","grn",4
2007-05-12,"Newspoll","oth",10
2007-05-12,"Galaxy","tpp",57
2007-05-12,"Galaxy","lnp",39
2007-05-12,"Galaxy","alp",49
2007-05-12,"Galaxy","grn",9
2007-05-12,"Galaxy","oth",3
2007-05-12,"Nielsen","tpp",58
2007-05-12,"Nielsen","lnp",39
2007-05-12,"Nielsen","alp",48
2007-05-13,"F2F Morgan","tpp",59.5
2007-05-13,"F2F Morgan","lnp",36
2007-05-13,"F2F Morgan","alp",51
2007-05-13,"F2F Morgan","grn",8
2007-05-13,"F2F Morgan","oth",5
2007-05-19,"Newspoll","tpp",57
2007-05-19,"Newspoll","lnp",39
2007-05-19,"Newspoll","alp",49
2007-05-19,"Newspoll","grn",3
2007-05-19,"Newspoll","oth",9
2007-05-20,"F2F Morgan","tpp",60
2007-05-20,"F2F Morgan","lnp",35.5
2007-05-20,"F2F Morgan","alp",51
2007-05-20,"F2F Morgan","grn",8
2007-05-20,"F2F Morgan","oth",5.5
2007-05-23,"Newspoll","tpp",55
2007-05-23,"Newspoll","lnp",39
2007-05-23,"Newspoll","alp",47
2007-05-23,"Newspoll","grn",5
2007-05-23,"Newspoll","oth",9
2007-05-26,"Newspoll","tpp",60
2007-05-26,"Newspoll","lnp",35
2007-05-26,"Newspoll","alp",52
2007-05-26,"Newspoll","grn",3
2007-05-26,"Newspoll","oth",10
2007-05-27,"F2F Morgan","tpp",57.5
2007-05-27,"F2F Morgan","lnp",37.5
2007-05-27,"F2F Morgan","alp",49
2007-05-27,"F2F Morgan","grn",6
2007-05-27,"F2F Morgan","oth",7.5
2007-06-02,"Galaxy","tpp",53
2007-06-02,"Galaxy","lnp",42
2007-06-02,"Galaxy","alp",44
2007-06-02,"Galaxy","grn",10
2007-06-02,"Galaxy","oth",4
2007-06-03,"F2F Morgan","tpp",58
2007-06-03,"F2F Morgan","lnp",38
2007-06-03,"F2F Morgan","alp",51
2007-06-03,"F2F Morgan","grn",5.5
2007-06-03,"F2F Morgan","oth",5.5
2007-06-05,"Morgan Phone","tpp",55
2007-06-12,"Morgan Phone","tpp",55
2007-06-13,"F2F Morgan","tpp",57.5
2007-06-13,"F2F Morgan","lnp",37
2007-06-13,"F2F Morgan","alp",48
2007-06-13,"F2F Morgan","grn",6.5
2007-06-13,"F2F Morgan","oth",8.5
2007-06-15,"Nielsen","tpp",57
2007-06-15,"Nielsen","lnp",39
2007-06-15,"Nielsen","alp",48
2007-06-16,"Newspoll","tpp",56
2007-06-16,"Newspoll","lnp",39
2007-06-16,"Newspoll","alp",46
2007-06-16,"Newspoll","grn",5
2007-06-16,"Newspoll","oth",10
2007-06-27,"F2F Morgan","tpp",59
2007-06-27,"F2F Morgan","lnp",36
2007-06-27,"F2F Morgan","alp",50.5
2007-06-27,"F2F Morgan","grn",7
2007-06-27,"F2F Morgan","oth",6.5
2007-06-30,"Galaxy","tpp",55
2007-06-30,"Galaxy","lnp",41
2007-06-30,"Galaxy","alp",46
2007-06-30,"Galaxy","grn",9
2007-06-30,"Galaxy","oth",4
2007-07-07,"Newspoll","tpp",56
2007-07-07,"Newspoll","lnp",39
2007-07-07,"Newspoll","alp",48
2007-07-07,"Newspoll","grn",4
2007-07-07,"Newspoll","oth",9
2007-07-11,"F2F Morgan","tpp",55
2007-07-11,"F2F Morgan","lnp",40.5
2007-07-11,"F2F Morgan","alp",47.5
2007-07-11,"F2F Morgan","grn",5.5
2007-07-11,"F2F Morgan","oth",6.5
2007-07-12,"Morgan Phone","tpp",57.5
2007-07-12,"Morgan Phone","lnp",37.5
2007-07-12,"Morgan Phone","alp",47.5
2007-07-13,"Nielsen","tpp",58
2007-07-13,"Nielsen","lnp",39
2007-07-13,"Nielsen","alp",49
2007-07-21,"Newspoll","tpp",55
2007-07-21,"Newspoll","lnp",40
2007-07-21,"Newspoll","alp",47
2007-07-21,"Newspoll","grn",4
2007-07-21,"Newspoll","oth",9
2007-07-25,"F2F Morgan","tpp",55
2007-07-25,"F2F Morgan","lnp",40.5
2007-07-25,"F2F Morgan","alp",47
2007-07-25,"F2F Morgan","grn",6.5
2007-07-25,"F2F Morgan","oth",6
2007-07-26,"Morgan Phone","tpp",59
2007-07-28,"Galaxy","tpp",54
2007-07-28,"Galaxy","lnp",41
2007-07-28,"Galaxy","alp",44
2007-07-28,"Galaxy","grn",10
2007-07-28,"Galaxy","oth",5
2007-08-04,"Newspoll","tpp",56
2007-08-04,"Newspoll","lnp",39
2007-08-04,"Newspoll","alp",48
2007-08-04,"Newspoll","grn",4
2007-08-04,"Newspoll","oth",9
2007-08-08,"F2F Morgan","tpp",58.5
2007-08-08,"F2F Morgan","lnp",36.5
2007-08-08,"F2F Morgan","alp",49.5
2007-08-08,"F2F Morgan","grn",7
2007-08-08,"F2F Morgan","oth",7
2007-08-09,"Morgan Phone","tpp",58.5
2007-08-11,"Nielsen","tpp",55
2007-08-11,"Nielsen","lnp",41
2007-08-11,"Nielsen","alp",46
2007-08-18,"Newspoll","tpp",55
2007-08-18,"Newspoll","lnp",39
2007-08-18,"Newspoll","alp",46
2007-08-18,"Newspoll","grn",5
2007-08-18,"Newspoll","oth",10
2007-08-22,"Morgan Phone","tpp",60
2007-08-22,"F2F Morgan","tpp",54.5
2007-08-22,"F2F Morgan","lnp",41
2007-08-22,"F2F Morgan","alp",46
2007-08-22,"F2F Morgan","grn",6.5
2007-08-22,"F2F Morgan","oth",6.5
2007-08-25,"Galaxy","tpp",57
2007-08-25,"Galaxy","lnp",39
2007-08-25,"Galaxy","alp",47
2007-08-25,"Galaxy","grn",9
2007-08-25,"Galaxy","oth",5
2007-09-01,"Newspoll","tpp",59
2007-09-01,"Newspoll","lnp",37
2007-09-01,"Newspoll","alp",51
2007-09-01,"Newspoll","grn",3
2007-09-01,"Newspoll","oth",9
2007-09-02,"F2F Morgan","tpp",60
2007-09-02,"F2F Morgan","lnp",34.5
2007-09-02,"F2F Morgan","alp",49
2007-09-02,"F2F Morgan","grn",9
2007-09-02,"F2F Morgan","oth",7.5
2007-09-07,"Nielsen","tpp",57
2007-09-07,"Nielsen","lnp",39
2007-09-07,"Nielsen","alp",49
2007-09-09,"F2F Morgan","tpp",59
2007-09-09,"F2F Morgan","lnp",36
2007-09-09,"F2F Morgan","alp",51
2007-09-09,"F2F Morgan","grn",6
2007-09-09,"F2F Morgan","oth",7
2007-09-15,"Newspoll","tpp",55
2007-09-15,"Newspoll","lnp",41
2007-09-15,"Newspoll","alp",47
2007-09-15,"Newspoll","grn",4
2007-09-15,"Newspoll","oth",8
2007-09-16,"F2F Morgan","tpp",56.5
2007-09-16,"F2F Morgan","lnp",39.5
2007-09-16,"F2F Morgan","alp",49.5
2007-09-16,"F2F Morgan","grn",6
2007-09-16,"F2F Morgan","oth",5
2007-09-22,"Galaxy","tpp",56
2007-09-22,"Galaxy","lnp",40
2007-09-22,"Galaxy","alp",46
2007-09-23,"F2F Morgan","tpp",60.5
2007-09-23,"F2F Morgan","lnp",36
2007-09-23,"F2F Morgan","alp",54
2007-09-23,"F2F Morgan","grn",5.5
2007-09-23,"F2F Morgan","oth",4.5
2007-09-29,"Newspoll","tpp",56
2007-09-29,"Newspoll","lnp",39
2007-09-29,"Newspoll","alp",48
2007-09-29,"Newspoll","grn",5
2007-09-29,"Newspoll","oth",8
2007-09-30,"F2F Morgan","tpp",61
2007-09-30,"F2F Morgan","lnp",35.5
2007-09-30,"F2F Morgan","alp",53.5
2007-09-30,"F2F Morgan","grn",5.5
2007-09-30,"F2F Morgan","oth",5.5
2007-10-05,"Nielsen","tpp",56
2007-10-05,"Nielsen","lnp",40
2007-10-05,"Nielsen","alp",47
2007-10-07,"F2F Morgan","tpp",57.5
2007-10-07,"F2F Morgan","lnp",38
2007-10-07,"F2F Morgan","alp",49.5
2007-10-07,"F2F Morgan","grn",6
2007-10-07,"F2F Morgan","oth",6.5
2007-10-08,"Morgan Phone","tpp",59
2007-10-08,"Morgan Phone","lnp",36
2007-10-08,"Morgan Phone","alp",50
2007-10-13,"Newspoll","tpp",56
2007-10-13,"Newspoll","lnp",39
2007-10-13,"Newspoll","alp",48
2007-10-13,"Newspoll","grn",4
2007-10-13,"Newspoll","oth",9
2007-10-14,"F2F Morgan","tpp",57
2007-10-14,"F2F Morgan","lnp",39.5
2007-10-14,"F2F Morgan","alp",49.5
2007-10-14,"F2F Morgan","grn",7
2007-10-14,"F2F Morgan","oth",4
2007-10-16,"Galaxy","tpp",53
2007-10-16,"Galaxy","lnp",43
2007-10-16,"Galaxy","alp",45
2007-10-16,"Galaxy","grn",8
2007-10-16,"Galaxy","oth",4
2007-10-18,"Morgan Phone","tpp",55.5
2007-10-18,"Morgan Phone","lnp",39.5
2007-10-18,"Morgan Phone","alp",45
2007-10-18,"Morgan Phone","grn",9
2007-10-18,"Morgan Phone","oth",6.5
2007-10-18,"Nielsen","tpp",54
2007-10-18,"Nielsen","lnp",42
2007-10-18,"Nielsen","alp",48
2007-10-20,"Newspoll","tpp",58
2007-10-20,"Newspoll","lnp",38
2007-10-20,"Newspoll","alp",51
2007-10-20,"Newspoll","grn",5
2007-10-20,"Newspoll","oth",6
2007-10-21,"F2F Morgan","tpp",56
2007-10-21,"F2F Morgan","lnp",39.5
2007-10-21,"F2F Morgan","alp",47
2007-10-21,"F2F Morgan","grn",8
2007-10-21,"F2F Morgan","oth",5.5
2007-10-25,"Morgan Phone","tpp",54.5
2007-10-25,"Morgan Phone","lnp",41
2007-10-25,"Morgan Phone","alp",44
2007-10-25,"Morgan Phone","grn",10.5
2007-10-25,"Morgan Phone","oth",4.5
2007-10-27,"Newspoll","tpp",54
2007-10-27,"Newspoll","lnp",42
2007-10-27,"Newspoll","alp",48
2007-10-27,"Newspoll","grn",4
2007-10-27,"Newspoll","oth",6
2007-10-28,"F2F Morgan","tpp",57.5
2007-10-28,"F2F Morgan","lnp",39
2007-10-28,"F2F Morgan","alp",49
2007-10-28,"F2F Morgan","grn",7.5
2007-10-28,"F2F Morgan","oth",4.5
2007-10-30,"Nielsen","tpp",55
2007-10-30,"Nielsen","lnp",41
2007-10-30,"Nielsen","alp",48
2007-11-03,"Galaxy","tpp",54
2007-11-03,"Galaxy","lnp",42
2007-11-03,"Galaxy","alp",45
2007-11-03,"Galaxy","grn",9
2007-11-03,"Galaxy","oth",4
2007-11-03,"Newspoll","tpp",53
2007-11-03,"Newspoll","lnp",42
2007-11-03,"Newspoll","alp",47
2007-11-03,"Newspoll","grn",5
2007-11-03,"Newspoll","oth",6
2007-11-04,"F2F Morgan","tpp",62
2007-11-04,"F2F Morgan","lnp",34
2007-11-04,"F2F Morgan","alp",54.5
2007-11-04,"F2F Morgan","grn",6
2007-11-04,"F2F Morgan","oth",5.5
2007-11-08,"Morgan Phone","tpp",56
2007-11-08,"Morgan Phone","lnp",39
