"first_pref","age_group","gender","education","division","state","tpp_imputed"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Farrer","NSW","LNP"
"LNP","ages18to29","Male","postgraduateDegree","Boothby","SA","LNP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Kingston","SA","LNP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Holt","VIC","ALP"
"LNP","ages45to59","Female","gradDipDipCertIIIandIV","Whitlam","NSW","LNP"
"LNP","ages18to29","Female","highSchoolorCertIorIIorLess","La Trobe","VIC","LNP"
"ALP","ages30to44","Female","bachelorDegree","Chisholm","VIC","ALP"
"ALP","ages45to59","Female","bachelorDegree","Macnamara","VIC","ALP"
"LNP","ages18to29","Female","gradDipDipCertIIIandIV","Makin","SA","LNP"
"GRN","ages18to29","Male","postgraduateDegree","Hinkler","QLD","ALP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Bean","ACT","ALP"
"Other","ages60plus","Male","bachelorDegree","Calare","NSW","ALP"
"ALP","ages45to59","Female","postgraduateDegree","Whitlam","NSW","ALP"
"Other","ages30to44","Male","highSchoolorCertIorIIorLess","Macarthur","NSW","LNP"
"GRN","ages18to29","Male","bachelorDegree","Berowra","NSW","LNP"
"Other","ages18to29","Male","highSchoolorCertIorIIorLess","Cunningham","NSW","ALP"
"ALP","ages30to44","Female","postgraduateDegree","Dickson","QLD","ALP"
"ALP","ages18to29","Female","highSchoolorCertIorIIorLess","Bennelong","NSW","ALP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Hindmarsh","SA","ALP"
"LNP","ages45to59","Female","bachelorDegree","Cook","NSW","LNP"
"LNP","ages60plus","Female","bachelorDegree","Tangney","WA","LNP"
"LNP","ages45to59","Female","postgraduateDegree","Robertson","NSW","LNP"
"ALP","ages30to44","Female","bachelorDegree","Mitchell","NSW","ALP"
"ALP","ages30to44","Male","postgraduateDegree","Adelaide","SA","ALP"
"ALP","ages45to59","Female","postgraduateDegree","Adelaide","SA","ALP"
"Other","ages18to29","Male","gradDipDipCertIIIandIV","Calare","NSW","LNP"
"GRN","ages30to44","Female","bachelorDegree","Page","NSW","LNP"
"ALP","ages18to29","Female","highSchoolorCertIorIIorLess","Lalor","VIC","ALP"
"LNP","ages45to59","Male","postgraduateDegree","McEwen","VIC","LNP"
"GRN","ages18to29","Female","bachelorDegree","Cooper","VIC","ALP"
"LNP","ages30to44","Male","postgraduateDegree","Goldstein","VIC","LNP"
"LNP","ages45to59","Male","postgraduateDegree","Herbert","QLD","LNP"
"Unsure","ages30to44","Female","highSchoolorCertIorIIorLess","Melbourne","VIC","LNP"
"LNP","ages30to44","Female","postgraduateDegree","Bowman","QLD","LNP"
"ALP","ages45to59","Male","postgraduateDegree","Boothby","SA","ALP"
"LNP","ages18to29","Female","postgraduateDegree","Moncrieff","QLD","LNP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Robertson","NSW","ALP"
"LNP","ages60plus","Male","bachelorDegree","Swan","WA","LNP"
"LNP","ages18to29","Female","bachelorDegree","Gippsland","VIC","LNP"
"Other","ages30to44","Female","highSchoolorCertIorIIorLess","Lyne","NSW","LNP"
"LNP","ages18to29","Male","gradDipDipCertIIIandIV","Corangamite","VIC","LNP"
"GRN","ages45to59","Male","gradDipDipCertIIIandIV","Kingston","SA","ALP"
"ALP","ages30to44","Male","highSchoolorCertIorIIorLess","Grey","SA","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Forrest","WA","LNP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Wannon","VIC","ALP"
"LNP","ages60plus","Male","highSchoolorCertIorIIorLess","Riverina","NSW","LNP"
"Other","ages18to29","Male","bachelorDegree","Grey","SA","LNP"
"GRN","ages18to29","Male","postgraduateDegree","Corangamite","VIC","LNP"
"GRN","ages18to29","Male","highSchoolorCertIorIIorLess","Melbourne","VIC","ALP"
"Unsure","ages18to29","Female","gradDipDipCertIIIandIV","Indi","VIC","ALP"
"ALP","ages18to29","Female","gradDipDipCertIIIandIV","Macquarie","NSW","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Casey","VIC","LNP"
"LNP","ages30to44","Female","highSchoolorCertIorIIorLess","Lyne","NSW","LNP"
"GRN","ages18to29","Female","bachelorDegree","Tangney","WA","ALP"
"LNP","ages45to59","Male","gradDipDipCertIIIandIV","Cowan","WA","LNP"
"GRN","ages18to29","Female","highSchoolorCertIorIIorLess","North Sydney","NSW","ALP"
"LNP","ages30to44","Female","postgraduateDegree","Perth","WA","LNP"
"ALP","ages45to59","Male","postgraduateDegree","Adelaide","SA","ALP"
"GRN","ages30to44","Male","gradDipDipCertIIIandIV","Dunkley","VIC","ALP"
"ALP","ages18to29","Male","highSchoolorCertIorIIorLess","Bruce","VIC","ALP"
"ALP","ages30to44","Female","highSchoolorCertIorIIorLess","Brand","WA","ALP"
"ALP","ages18to29","Male","bachelorDegree","Petrie","QLD","ALP"
"LNP","ages30to44","Male","postgraduateDegree","Forrest","WA","LNP"
"GRN","ages18to29","Female","highSchoolorCertIorIIorLess","Dunkley","VIC","ALP"
"Unsure","ages18to29","Female","postgraduateDegree","Moreton","QLD","ALP"
"ALP","ages30to44","Female","gradDipDipCertIIIandIV","Cunningham","NSW","ALP"
"LNP","ages45to59","Male","highSchoolorCertIorIIorLess","Robertson","NSW","LNP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Dobell","NSW","ALP"
"ALP","ages45to59","Female","highSchoolorCertIorIIorLess","Shortland","NSW","ALP"
"ALP","ages45to59","Male","highSchoolorCertIorIIorLess","Shortland","NSW","ALP"
"ALP","ages45to59","Female","gradDipDipCertIIIandIV","Robertson","NSW","ALP"
"GRN","ages30to44","Male","bachelorDegree","Gilmore","NSW","ALP"
